county_code,county_name,county_norm,bdod,cec,cfvo,clay,nitrogen,phh2o,sand,silt,soc,maize_price_median,maize_price_mean,maize_price_cv,maize_price_n,population_total,households,avg_household_size,land_area_sqkm,density,ag_land_ha_total,ag_land_ha_subsistence,ag_land_ha_commercial,farming_households_total,farming_households_subsistence,farming_households_commercial,crop_area_ha,crop_production_mt,n_crops,maize_area_ha,maize_production_mt,napr_year,stunting_actionplan,stunting,wasting,underweight,n_children,maize_yield_t_ha,crop_production_per_capita_kg,maize_production_per_capita_kg,ag_land_share,farming_hh_share,cropland_per_farming_hh_ha,ag_land_subsistence_share
KE001,Mombasa,mombasa,0.8387802792818466,9.659983851049683,4.228056426332288,17.856777809442384,0.8729053861499003,3.856445331053481,34.98681010734302,12.4168994015389,12.416790158639689,56.67,57.02025316455697,0.12978205514724261,79.0,1208333.0,378422.0,31.0,219.9,5495.0,10713.0,7938.0,1778.0,12497.0,9830.0,2062.0,280.0,533.0,3,,,2023,,13.0,4.9,10.0,360,,0.4411035699596055,,0.48717598908594817,0.033023978521333326,0.8572457389773546,0.7409689162699524
KE002,Kwale,kwale,1.3616109229806286,15.898115842013192,7.368845190903402,28.854714540970537,1.2320361558255362,6.299210654426594,53.41201057097155,17.336979676558226,15.737178283501047,,,,,866820.0,173176.0,50.0,8267.1,105.0,304761.0,295623.0,6952.0,108074.0,103612.0,2525.0,19318.0,12307.0,8,0.0,0.0,2023,,22.2,5.9,11.2,419,,14.197872684063588,0.0,0.36864317596255036,0.6240703099736684,2.8199289375798062,0.9700158484845501
KE003,Kilifi,kilifi,1.404503586089871,15.788681727717144,6.861633054210297,27.58357284514029,1.1153496942645398,6.432942051668502,51.843661676178634,19.57939504604915,13.993094383636963,42.75,45.52205882352941,0.2344846497231295,68.0,1453787.0,298472.0,48.0,12539.7,116.0,227776.0,209112.0,9122.0,161188.0,154803.0,4076.0,24890.0,12824.3,7,30.0,24.0,2023,37.0,37.4,7.5,19.9,385,0.8,8.82130600975246,0.016508608207392143,0.18164389897684952,0.540043957222118,1.413107675509343,0.9180598482719865
KE004,Tana River,tana river,1.4240517486044069,18.434772430972274,6.045096060452899,29.05701906735822,0.8349989003732512,7.276823486444345,50.53631713800796,20.204483819939373,10.335119986521798,80.0,83.10024390243902,0.1865956232211126,123.0,315943.0,68242.0,46.0,37950.5,8.0,81049.0,52664.0,9489.0,35094.0,26341.0,3026.0,3517.0,7302.0,4,,,2023,,19.9,11.2,16.1,617,,23.111763830817583,,0.021356503866879224,0.5142580815333665,2.309483102524648,0.6497797628595048
KE005,Lamu,lamu,1.382963335347875,16.545077742981157,8.140185704082192,28.616287566617217,1.47265553174734,5.98230811493874,47.680621577569,22.539272018020988,22.459941028881197,,,,,143920.0,37963.0,37.0,6253.3,23.0,42542.0,33585.0,4009.0,18678.0,15431.0,1901.0,21252.0,25531.0,5,563.0,535.0,2023,,15.2,3.5,11.2,431,0.9502664298401421,177.39716509171762,3.717342968315731,0.06803127948443222,0.492005373653294,2.277652853624585,0.7894551266983216
KE006,Taita Taveta,taita taveta,1.3394589817311964,18.450335242361305,6.224276106409581,32.59159562706015,1.0741733573059715,6.820056741271171,50.75175119088213,16.61749970292528,11.685109517240667,66.5,66.5,0.2870959863464178,2.0,340671.0,96429.0,35.0,17152.0,20.0,125193.0,105987.0,17985.0,56920.0,49969.0,5481.0,24587.0,25847.6,8,1991.0,1193.0,2023,,16.5,4.3,12.0,252,0.5991963837267704,75.87261610175213,3.5019124022884247,0.07299032182835821,0.5902788580198903,2.1994553759662683,0.8465888667896767
KE007,Garissa,garissa,1.4245563335966338,19.025293544461693,8.224438961559144,29.204245059557763,0.7956690373876524,7.47872351618993,48.981319719986544,21.75999128770204,10.374957175548229,75.88,81.82621505376345,0.2776632407292739,465.0,841353.0,141394.0,59.0,44736.0,19.0,151460.0,76172.0,9779.0,47645.0,23980.0,2751.0,255.0,170.0,3,130.0,111.0,2023,,9.5,15.2,14.9,583,0.8538461538461538,0.20205549870268485,0.13193035503528244,0.03385640200286123,0.33696620790132537,3.178927484520936,0.5029182622474581
KE008,Wajir,wajir,1.3909683649984381,21.28073078972564,8.7624444897948,29.824521504865583,0.9549380967628055,7.7353729069930655,46.18999477298041,23.979766254095704,11.172847803029324,100.0,95.23444444444445,0.24998057947694138,72.0,781263.0,127932.0,61.0,56773.1,14.0,513445.0,413225.0,12489.0,63433.0,39205.0,2785.0,442.0,433.0,2,380.0,324.0,2023,,12.3,23.0,16.6,686,0.8526315789473684,0.5542307775998607,0.41471309917402976,0.09043807718796402,0.49583372416596316,8.094288461841629,0.8048086942126226
KE009,Mandera,mandera,1.3935327885747184,18.717270151213956,12.171473164931719,30.904908065595883,1.0150842221007106,7.746595982618146,41.01973889743446,28.05060778572146,12.543214493168374,66.0,69.58907894736842,0.46353979160673026,228.0,867457.0,125763.0,69.0,25939.8,33.0,547731.0,414032.0,15528.0,62639.0,44434.0,1888.0,2573.0,1733.0,3,1345.0,1035.0,2023,,20.0,17.1,22.9,884,0.7695167286245354,1.9977935505736883,1.1931427148550302,0.21115467351328845,0.4980717699164301,8.744248790689506,0.7559039017327849
KE010,Marsabit,marsabit,1.3094593780943953,21.35026927154165,14.704440876867048,27.067676482259987,0.850621934719739,7.426999781927465,45.52142730075988,20.779729211558603,8.514538668860784,50.12,58.58839857651245,0.44331891880883545,281.0,459785.0,77495.0,58.0,70944.1,6.0,86529.0,60308.0,3985.0,39167.0,26702.0,1118.0,840.0,504.0,4,106.0,140.0,2023,,19.7,20.7,26.4,522,1.320754716981132,1.0961645116739345,0.3044901421316485,0.012196785920182227,0.5054132524679011,2.2092322618530904,0.6969686463497787
KE011,Isiolo,isiolo,1.4026939350152785,18.920119994345818,8.567920839681202,29.47662444352535,0.834065907889157,7.747918248180278,49.011009167107304,21.50894700424238,9.155723814061117,94.0,91.29908396946566,0.23965888225425805,131.0,268002.0,58072.0,46.0,25350.6,11.0,117310.0,99708.0,2855.0,24271.0,16854.0,1549.0,220.0,330.0,5,0.0,0.0,2023,,13.0,6.7,10.4,469,,1.2313340945216826,0.0,0.04627503885509613,0.4179466868714699,4.833340200238968,0.849953115676413
KE012,Meru,meru,1.1861945654310189,21.826862030926073,9.072698930457552,40.4920308943708,2.1903280426802594,6.193200290367779,35.33103987168026,24.14559582453671,26.1081675447439,75.5,74.0,0.1451261594016848,4.0,1545714.0,426360.0,36.0,7006.3,221.0,361272.0,310827.0,45753.0,274865.0,238707.0,30109.0,233689.0,361508.0,8,5881.0,2941.0,2023,,25.7,7.3,12.2,284,0.5000850195544976,233.87767724171482,1.902680573508424,0.5156387822388422,0.6446782062107139,1.3143615956924308,0.8603683651099449
KE013,Tharaka-Nithi,tharaka nithi,1.2658468853895517,19.59811688702181,8.451683805400204,38.864303325515664,1.706423459876464,6.355801826413408,40.30579710144927,20.79374758382516,18.48421432437308,,,,,393177.0,109860.0,36.0,2564.4,153.0,147710.0,134102.0,12281.0,85767.0,78456.0,6073.0,115719.0,72218.0,8,18843.0,11066.0,2023,,19.5,3.7,7.8,257,0.5872737886748395,183.6780890031716,28.14508478369793,0.5760021837466854,0.7806936100491535,1.7222241654715684,0.9078735359826687
KE014,Embu,embu,1.1948661078671439,19.17425205625667,7.9739298832171785,43.7947310384881,1.6968328938280905,6.146859892007283,32.29790528662021,22.47820603377912,18.85581952031142,,,,,608599.0,182743.0,33.0,2820.7,216.0,122114.0,105151.0,16259.0,130990.0,113678.0,15674.0,55620.0,48153.0,8,3857.0,6491.0,2023,,19.3,5.3,11.4,265,1.682914182006741,79.12106329455027,10.665479240025041,0.43292090615804585,0.7167990018769529,0.9322391022215436,0.8610888186448729
KE015,Kitui,kitui,1.3798517074916632,16.007181656685926,5.525545084996304,29.42106037327374,0.9448423523694796,6.564255649446258,55.11023982139428,15.418428972362378,9.263034464095536,33.0,30.76811111111111,0.3417027318404648,180.0,1136187.0,262942.0,43.0,30429.5,37.0,410703.0,389785.0,16190.0,215322.0,206970.0,5223.0,387343.0,224329.0,7,68755.0,37325.0,2023,,22.9,3.9,11.0,318,0.5428696094829467,197.44021010625892,32.85110637597508,0.13496869813831971,0.8188954218040481,1.9073898626243486,0.9490678178635169
KE016,Machakos,machakos,1.2485185714861955,18.358366977994375,5.755377645277096,38.28493635933598,1.2945476030700065,6.367127057641463,40.7118176184347,19.873356178699904,13.746018745668366,,,,,1421932.0,402466.0,35.0,6042.7,235.0,268694.0,248201.0,17610.0,231341.0,220575.0,8203.0,201153.0,108967.0,6,249.0,170.0,2023,,13.9,3.2,6.6,274,0.6827309236947792,76.63305980876723,0.11955564682418006,0.44465884455624144,0.5748088037250352,1.1614629486342671,0.9237310844306162
KE017,Makueni,makueni,1.2931382955666093,16.996798904385706,5.400746935856172,34.0604006144543,1.0997595283765187,6.372376377645567,49.29585798736413,16.633907690973913,12.143469391072532,67.5,67.25,0.22001238284972677,4.0,987653.0,244669.0,40.0,8169.8,121.0,303089.0,281186.0,18730.0,193531.0,183660.0,7587.0,335987.0,215414.4,9,108.0,97.0,2023,,20.7,3.6,9.7,324,0.8981481481481481,218.10737171860967,0.09821263135939444,0.3709870498665818,0.7909910940903834,1.5661005213635024,0.9277340979052358
KE018,Nyandarua,nyandarua,1.1323258772286902,23.970776004776248,11.254590355233521,33.283817403457356,2.9902199516947543,5.8499216396645775,34.26326460690928,31.54505006920134,39.408121997883256,,,,,638289.0,179686.0,35.0,3285.7,194.0,97254.0,69496.0,27102.0,140854.0,107997.0,31613.0,49135.0,440978.0,3,,,2023,,18.6,2.1,4.4,298,,690.8751364977306,,0.29599172170313787,0.7838896742094543,0.6904596248597838,0.7145824336274086
KE019,Nyeri,nyeri,1.1289673215651075,23.427430936471527,8.550317476147736,35.61211329410591,3.1740671187792957,5.680122668794255,33.75865795684984,30.60360626308966,42.789148632026865,,,,,759164.0,248050.0,30.0,3325.0,228.0,98512.0,81690.0,16107.0,164229.0,140838.0,21590.0,35019.0,108725.0,3,,,2023,,12.2,3.1,4.4,237,,143.21674895016096,,0.2962766917293233,0.6620802257609353,0.5998453379123054,0.8292390774727952
KE020,Kirinyaga,kirinyaga,1.1387668979812546,21.856747176159576,7.650106645037252,47.7352356705119,2.7455385574381155,5.682376532083634,26.160600666906994,25.946525024032685,33.33997987262677,,,,,610411.0,204188.0,30.0,1478.3,413.0,80166.0,52890.0,26670.0,139866.0,96666.0,41035.0,23012.0,31781.0,7,60.0,98.0,2023,,11.5,2.4,5.9,268,1.6333333333333333,52.06492019311579,0.16054756549275817,0.5422850571602517,0.6849863850960879,0.5731628844751405,0.6597560062869545
KE021,Murang'a,murang a,1.1588516265515,24.15236960376398,7.85337379961728,49.7973389687681,2.8170613665490425,5.608871859693474,22.762114868067627,27.085035375081198,33.59530819332525,,,,,1056640.0,318105.0,33.0,2524.2,419.0,140189.0,125257.0,14009.0,231400.0,211655.0,17893.0,55498.0,51033.0,7,203.0,143.0,2023,,8.1,1.5,4.5,265,0.7044334975369458,48.2974333737129,0.13533464566929135,0.5553799223516362,0.727432765910627,0.6058297320656871,0.8934866501651342
KE022,Kiambu,kiambu,1.1877124183006535,25.5316945533769,7.976219172113289,41.50696427015251,2.619950980392157,5.997730718954249,27.520283224400867,29.908640958605673,31.478343790849674,,,,,2417735.0,795241.0,30.0,2538.6,952.0,90218.0,66642.0,22247.0,214052.0,173960.0,35169.0,44740.0,122855.0,7,28.0,25.0,2023,,14.8,3.1,6.1,351,0.8928571428571429,50.81408839264849,0.010340256479721723,0.3553848577956354,0.26916620244680545,0.42147702427447536,0.7386774257908622
KE023,Turkana,turkana,1.3696729531833063,27.20514776374079,17.442763329115614,29.794996134019396,1.1206492938867663,7.412445555289517,43.260275858457476,23.322903845128597,13.878348600092304,77.0,77.72278792134831,0.2965611867756351,1424.0,926976.0,164519.0,56.0,68232.9,14.0,435576.0,366142.0,1484.0,61209.0,41670.0,584.0,5598.0,6651.0,4,4843.0,3951.0,2023,,22.0,22.1,30.4,599,0.8158166425769151,7.174943040596521,4.262246271748136,0.06383665357913852,0.37204821327627813,7.116208400725384,0.8405926864657374
KE024,West Pokot,west pokot,1.2998206671951664,25.99803895661779,15.285658493966292,35.651378384362125,1.8985721937737023,6.663290101105327,40.13176295121853,23.97321304013503,22.588055073478124,,,,,621241.0,116182.0,53.0,9123.2,68.0,303114.0,289400.0,7666.0,89828.0,85044.0,2573.0,34242.0,122647.0,6,451.0,550.0,2023,34.0,33.8,10.5,26.7,777,1.2195121951219512,197.42257835525987,0.8853246968567754,0.33224526481936156,0.7731662391764645,3.3743821525582223,0.9547562963109589
KE025,Samburu,samburu,1.3209909151784538,22.146818994289692,14.045687372467137,32.00111775468345,1.3105252165751855,7.113417327069395,44.92511549797793,23.03792499090463,15.493990097913601,69.0,69.89220183486239,0.20771479528390507,109.0,310327.0,65910.0,47.0,21065.1,15.0,61215.0,59992.0,823.0,25272.0,24573.0,375.0,5390.0,7766.0,6,5.0,2.0,2023,31.0,30.3,15.3,29.3,575,0.4,25.025215337369936,0.006444814663242321,0.029059914265776095,0.3834319526627219,2.4222459639126304,0.9800212366250102
KE026,Trans Nzoia,trans nzoia,1.183723614863961,26.067357339682708,11.534902842059267,43.0738962162355,2.924489686722491,5.918613392546617,29.91211865842675,26.8561647805809,31.235590393893183,,,,,990341.0,223808.0,44.0,2495.2,397.0,154167.0,105145.0,47750.0,140249.0,121815.0,15884.0,64248.0,67622.0,5,676.0,1193.0,2023,,20.3,3.6,11.5,379,1.764792899408284,68.2815313109323,1.2046355750191096,0.6178542802180187,0.6266487346296826,1.0992377842266254,0.682020146983466
KE027,Uasin Gishu,uasin gishu,1.1902486870861466,23.146705809439933,9.066456600450142,42.88097335029521,2.4662111100238118,5.9186684933294185,31.765774863815768,24.848406889128096,27.090347065922952,,,,,1163186.0,304943.0,38.0,3392.2,343.0,192326.0,108582.0,74336.0,141547.0,118148.0,21441.0,30409.0,80216.0,4,240.0,420.0,2023,,13.7,3.4,6.4,389,1.75,68.96231557119842,0.3610772481787092,0.5669653911915571,0.4641752721000318,1.358743032349679,0.5645726526834646
KE028,Elgeyo-Marakwet,elgeyo marakwet,1.2189656595127054,22.99548659461132,13.286884895637632,38.77274495502066,2.9557758474607487,5.920449203928417,35.60846576634323,25.574543023230113,35.097387072770005,,,,,454480.0,99861.0,45.0,3032.0,150.0,68102.0,55480.0,11974.0,74881.0,65518.0,8660.0,54254.0,293052.0,6,2506.0,2996.0,2023,,21.5,5.4,14.4,397,1.1955307262569832,644.8072522443232,6.592149269494807,0.2246108179419525,0.7498522946896186,0.9094696919111657,0.8146603623975801
KE029,Nandi,nandi,1.1558856035203728,22.688179317028943,9.550348598181973,41.2540503044372,3.127563486294464,5.5918904026074525,31.233765954619706,27.490984125495345,35.84128074659413,,,,,885711.0,199426.0,44.0,2855.8,310.0,211761.0,164111.0,46718.0,148887.0,134498.0,13136.0,31244.0,31081.0,4,157.0,251.0,2023,,15.7,3.4,8.7,360,1.5987261146496816,35.09158179135181,0.28338814805280726,0.7415120106450032,0.7465776779356754,1.4222934171552923,0.7749821732991439
KE030,Baringo,baringo,1.2715530127250079,26.27976801081178,13.363778505076164,36.03781374919603,1.7630484046927029,6.471016820132054,36.46521301972661,25.62803928632489,21.82870504929618,47.15,53.034375000000004,0.3460386640123239,96.0,666763.0,142518.0,47.0,10976.4,61.0,182613.0,165508.0,12459.0,100465.0,89593.0,7230.0,38078.0,73663.5,8,6480.0,5995.0,2023,,19.5,12.8,19.2,454,0.9251543209876543,110.47928574321011,8.99120077148852,0.16636875478298896,0.7049285002596163,1.8176777982381924,0.9063319697940453
KE031,Laikipia,laikipia,1.2528173098371627,25.111086790839465,8.542097809316676,38.369120961595655,1.9944727186965574,6.541240984459812,37.75864492713213,23.842353055989296,21.038107270986693,,,,,518560.0,149271.0,34.0,9532.2,54.0,90707.0,67022.0,20508.0,90729.0,77810.0,9195.0,18306.0,54492.0,5,0.0,0.0,2023,,11.9,2.8,6.9,287,,105.0833076211046,0.0,0.09515851534797842,0.6078139759229857,0.9997575196464196,0.7388845403331606
KE032,Nakuru,nakuru,1.1407150363831213,23.2645868487895,10.698278832661327,34.53824135419812,2.5121742837350576,5.939397532223781,33.81706365417976,28.130459540429968,29.673378893645243,,,,,2162202.0,616046.0,35.0,7462.4,290.0,357968.0,270779.0,83022.0,283652.0,241174.0,37725.0,106987.0,761225.4,8,590.0,809.0,2023,,19.0,3.4,9.6,422,1.3711864406779661,352.06026078969495,0.37415560618295607,0.47969554030874784,0.4604396424942293,1.2619970950319406,0.7564335359585215
KE033,Narok,narok,1.2331708578463212,23.30460930782127,8.719713329497862,34.2123394515277,2.1436715661711485,6.361569882894419,39.469634145587044,26.308702188074157,25.839635939597525,,,,,1157873.0,241125.0,48.0,17950.3,65.0,718141.0,557124.0,109107.0,181706.0,145062.0,30373.0,65472.0,200609.0,5,1014.0,1135.0,2023,,20.2,2.3,9.3,558,1.1193293885601578,173.2564797693702,0.9802456746119825,0.4000718650941767,0.7535759460860549,3.9522140160479013,0.775786370643091
KE034,Kajiado,kajiado,1.2582804907548262,25.683592941097878,7.801195460861979,37.42314840961146,1.2532100727812645,7.136462593709294,40.38100663037219,22.0404000793499,14.965737797169918,49.5,51.12585714285714,0.15628728859361748,70.0,1117840.0,316179.0,35.0,21871.1,51.0,824874.0,689557.0,82923.0,97565.0,72411.0,12468.0,49990.0,53659.0,7,15.0,15.0,2023,,14.7,7.1,10.4,427,1.0,48.00239748085593,0.013418736133972662,0.3771524980453658,0.30857520581695813,8.454609747347922,0.8359543396930925
