,count,mean,std,min,25%,50%,75%,max,missing
bdod,47.0,1.208,0.149,0.8,1.148,1.191,1.315,1.425,0
cec,47.0,20.392,3.999,9.66,17.356,21.281,23.285,27.205,0
cfvo,47.0,9.203,2.834,4.228,7.827,8.542,10.762,17.443,0
clay,47.0,35.82,6.717,17.857,30.365,35.612,41.381,49.797,0
nitrogen,47.0,1.86,0.791,0.796,1.176,1.697,2.574,3.228,0
phh2o,47.0,6.067,0.95,3.855,5.6,5.982,6.553,7.748,0
sand,47.0,36.564,9.325,21.692,28.95,34.987,44.093,55.11,0
silt,47.0,23.456,4.958,12.417,20.467,23.842,26.843,34.142,0
soc,47.0,22.165,9.858,8.515,13.936,19.973,31.357,42.789,0
maize_price_median,17.0,64.785,18.13,33.0,50.12,66.5,75.88,100.0,30
maize_price_mean,17.0,66.172,17.025,30.768,53.034,67.25,77.723,95.234,30
maize_price_cv,17.0,0.254,0.104,0.087,0.187,0.24,0.297,0.464,30
maize_price_n,17.0,205.118,334.409,2.0,70.0,109.0,180.0,1424.0,30
population_total,47.0,1012006.298,693242.708,143920.0,609505.0,893681.0,1156723.5,4397073.0,0
households,47.0,258381.128,234455.192,37963.0,141956.0,204188.0,302844.0,1506888.0,0
avg_household_size,47.0,42.319,8.842,29.0,35.0,43.0,46.5,69.0,0
land_area_sqkm,47.0,12359.074,17366.003,219.9,2530.35,3325.0,14845.85,70944.1,0
density,47.0,509.149,1175.429,6.0,52.5,221.0,416.0,6247.0,0
ag_land_ha_total,47.0,210394.915,172522.508,10713.0,93980.5,151460.0,272187.5,824874.0,0
ag_land_ha_subsistence,47.0,176904.957,144394.676,7938.0,72834.0,125257.0,255832.0,689557.0,0
ag_land_ha_commercial,47.0,20429.83,23557.488,823.0,7309.0,14009.0,18910.5,109107.0,0
farming_households_total,47.0,134815.617,78642.036,12497.0,69157.0,140249.0,187618.5,335269.0,0
farming_households_subsistence,47.0,119717.894,75247.286,9830.0,57743.5,113678.0,167221.0,322193.0,0
farming_households_commercial,47.0,10776.383,10667.967,375.0,2838.5,6956.0,14439.5,41035.0,0
crop_area_ha,47.0,56136.745,79537.381,220.0,19336.5,35019.0,54932.0,387343.0,0
crop_production_mt,47.0,96824.834,138510.346,170.0,12565.65,54492.0,108846.0,761225.4,0
n_crops,47.0,5.553,1.73,2.0,4.0,5.0,7.0,9.0,0
maize_area_ha,43.0,3457.512,10793.988,0.0,71.5,380.0,2248.5,68755.0,4
maize_production_mt,43.0,2353.837,5967.604,0.0,54.0,420.0,2057.5,37325.0,4
napr_year,47.0,2023.0,0.0,2023.0,2023.0,2023.0,2023.0,2023.0,0
stunting_actionplan,4.0,27.75,12.738,9.0,25.5,32.5,34.75,37.0,43
stunting,47.0,17.694,5.988,8.1,13.35,16.9,20.25,37.4,0
wasting,47.0,6.0,5.688,1.0,2.6,3.6,6.9,23.0,0
underweight,47.0,11.255,6.754,3.5,6.65,9.6,12.1,30.4,0
n_children,47.0,415.532,139.271,237.0,318.5,397.0,457.0,884.0,0
maize_yield_t_ha,40.0,0.962,0.396,0.4,0.691,0.834,1.233,1.765,7
crop_production_per_capita_kg,47.0,105.486,142.86,0.139,24.068,57.149,150.852,690.875,0
maize_production_per_capita_kg,43.0,3.086,6.761,0.0,0.052,0.374,3.262,32.851,4
ag_land_share,47.0,0.427,0.293,0.012,0.174,0.433,0.571,1.248,0
farming_hh_share,47.0,0.602,0.194,0.021,0.494,0.662,0.749,0.819,0
cropland_per_farming_hh_ha,47.0,2.047,2.097,0.421,0.824,1.314,2.243,8.744,0
ag_land_subsistence_share,47.0,0.825,0.135,0.31,0.756,0.855,0.925,0.98,0
