no,policy_document,year_or_period,appendix
1,Food Policy (Sessional Paper No. 4),1981,1
2,National Food Policy (Sessional Paper 1),1994,1
3,Poverty Reduction Strategy Paper,2001,1
4,Economic Recovery Strategy for Wealth and Employment Creation,2003-2007,1
5,Kenya Rural Development Strategy (KRDS),2002-2017,1
6,Strategy for Revitalising Agriculture (SRA),2004-2014,1
7,"Kenya Vision 2030 and Medium Term Plans (1st, 2nd, 3rd)",2008-,1
8,Millennium Development Goals (domestication and ratification),,1
9,Sustainable Development Goals (domestication and ratification),,1
10,Comprehensive African Agriculture Development Programme (CAADP) of NEPAD,2002,1
11,National Nutrition Policy,2008,1
12,Food Security and Nutrition Policy,2011,1
13,Agriculture Sector Development Strategy (ASDS),2010-2020,1
14,National Agribusiness Strategy,2012,1
15,National Food Safety Policy,2013,1
16,Food Security Bill,2017,1
17,Kenya Nutrition Action Plan,2018-2022,1
18,Agricultural Sector Transformation and Growth Strategy (ASTGS),2019-2029,1
19,ASTGS National Agriculture Investment Plan (NAIP),,1
20,National Food and Nutrition Security Policy Implementation Framework,2017-2022,1
21,National Agricultural Policy,,1
22,National Livestock Policy,,1
23,National Root and Tuber Crops Development Strategy,2019-2022,1
24,National Potato Strategy,2016-2020,1
25,National Agricultural Soil Management Policy (NASMP),,2
26,Land Use Policy,,2
27,National Irrigation Policy,,2
28,National Forest Policy,,2
29,Sessional Paper No. 1 on KWS Policy,,2
30,Range Management and Pastoralism Strategy,2021-2031,2
31,IGAD Regional Post Harvest Loss Management Strategy (IGAD-PHLMS),,2
32,National Climate Change Action Plan,,2
33,National Climate Change Response Strategy (NCCRS),,2
34,Kenya National Adaptation Plan,2015-2030,2
35,Nationally Determined Contribution,2015,2
36,Youth Climate Action Strategy for Kenya (YCASK),2021-2030,2
37,National Agricultural Research System Policy (NARS),2021,2
38,National Agricultural Sector Extension Policy (NASEP),,2
