county_code,county_name,county_norm,subcounty_code,subcounty_name,subcounty_norm,source
KE027,Uasin Gishu,uasin gishu,KE027144,Ainabkoi,ainabkoi,COD-AB (ken_admin2.shp)
KE035,Kericho,kericho,KE035190,Ainamoi,ainamoi,COD-AB (ken_admin2.shp)
KE029,Nandi,nandi,KE029152,Aldai,aldai,COD-AB (ken_admin2.shp)
KE041,Siaya,siaya,KE041234,Alego Usonga,alego usonga,COD-AB (ken_admin2.shp)
KE044,Migori,migori,KE044254,Awendo,awendo,COD-AB (ken_admin2.shp)
KE032,Nakuru,nakuru,KE032174,Bahati,bahati,COD-AB (ken_admin2.shp)
KE007,Garissa,garissa,KE007028,Balambala,balambala,COD-AB (ken_admin2.shp)
KE009,Mandera,mandera,KE009040,Banissa,banissa,COD-AB (ken_admin2.shp)
KE030,Baringo,baringo,KE030159,Baringo Central,baringo central,COD-AB (ken_admin2.shp)
KE030,Baringo,baringo,KE030158,Baringo North,baringo north,COD-AB (ken_admin2.shp)
KE030,Baringo,baringo,KE030160,Baringo South,baringo south,COD-AB (ken_admin2.shp)
KE035,Kericho,kericho,KE035192,Belgut,belgut,COD-AB (ken_admin2.shp)
KE045,Kisii,kisii,KE045264,Bobasi,bobasi,COD-AB (ken_admin2.shp)
KE045,Kisii,kisii,KE045263,Bomachoge Borabu,bomachoge borabu,COD-AB (ken_admin2.shp)
KE045,Kisii,kisii,KE045265,Bomachoge Chache,bomachoge chache,COD-AB (ken_admin2.shp)
KE036,Bomet,bomet,KE036197,Bomet Central,bomet central,COD-AB (ken_admin2.shp)
KE036,Bomet,bomet,KE036196,Bomet East,bomet east,COD-AB (ken_admin2.shp)
KE045,Kisii,kisii,KE045261,Bonchari,bonchari,COD-AB (ken_admin2.shp)
KE041,Siaya,siaya,KE041236,Bondo,bondo,COD-AB (ken_admin2.shp)
KE046,Nyamira,nyamira,KE046273,Borabu,borabu,COD-AB (ken_admin2.shp)
KE040,Busia,busia,KE040231,Budalangi,budalangi,COD-AB (ken_admin2.shp)
