food_code,food_group,food_name,edible_factor,energy_kj,energy_kcal,water_g,protein_g,fat_g,carbohydrate_g,fibre_g,ash_g,ca_mg,fe_mg,mg_mg,p_mg,k_mg,na_mg,zn_mg,se_mcg,vit_a_rae_mcg,vit_a_re_mcg,retinol_mcg,beta_carotene_mcg,thiamin_mg,riboflavin_mg,niacin_mg,folate_dfe_mcg,food_folate_mcg,vit_b12_mcg,vit_c_mg
01001,01 CEREALS AND CEREAL PRODUCTS,"Amaranth, whole grain, dry, raw",1.0,1520.0,360.0,10.0,14.7,5.6,59.2,7.5,3.1,162.0,9.5,270.0,397.0,413.0,3.0,2.5,21.0,,,,,,,,,,,
01002,01 CEREALS AND CEREAL PRODUCTS,"Amaranth, whole grain, flour",1.0,1540.0,365.0,10.2,13.8,6.3,59.6,7.1,3.0,161.0,8.9,259.0,405.0,461.0,3.0,2.7,20.0,,,,,,,,,,,
01003,01 CEREALS AND CEREAL PRODUCTS,"Biscuit, Savoury",1.0,2060.0,492.0,4.5,6.6,24.9,58.9,3.3,1.9,38.0,1.4,27.0,177.0,161.0,637.0,0.83,15.0,8.0,10.0,7.0,15.0,0.16,0.06,1.3,21.0,21.0,0.0,3.0
01004,01 CEREALS AND CEREAL PRODUCTS,"Biscuit, Sweet",1.0,1930.0,460.0,4.3,6.1,17.2,69.3,2.1,1.1,45.0,1.4,19.0,98.0,158.0,298.0,0.6,10.0,,,,,,,,,,,
01005,01 CEREALS AND CEREAL PRODUCTS,"Bread, Brown",,,,,,,,,,56.0,2.6,58.0,134.0,191.0,446.0,1.3,13.0,0.0,0.0,0.0,0.0,0.22,0.01,3.4,37.0,37.0,0.05,0.0
01006,01 CEREALS AND CEREAL PRODUCTS,"Bread, Sweet",1.0,1540.0,368.0,23.5,8.3,14.4,50.6,1.5,1.8,80.0,1.9,18.0,147.0,227.0,369.0,0.8,20.0,,,,,,,,,,,
01007,01 CEREALS AND CEREAL PRODUCTS,"Bread, White",,,,,,,,,,37.0,1.7,27.0,95.0,120.0,466.0,0.8,10.0,0.0,0.0,0.0,0.0,0.16,0.06,3.8,28.0,28.0,0.07,0.0
01008,01 CEREALS AND CEREAL PRODUCTS,"Breakfast cereal, flakes of corn, fortified (iron, thiamine, riboflavin, niacin and folate)",1.0,1580.0,372.0,3.5,7.5,0.7,82.6,2.95,2.8,3.2,10.2,13.0,45.0,110.0,1090.0,0.2,5.5,,,,,,,,,,,
01009,01 CEREALS AND CEREAL PRODUCTS,"Breakfast cereal, flakes of corn",,,,,,,,,,3.0,0.4,13.0,45.0,110.0,1090.0,0.2,9.0,10.0,21.0,0.0,125.0,0.0,0.08,0.8,4.0,4.0,0.0,0.0
01010,01 CEREALS AND CEREAL PRODUCTS,"Breakfast cereal, wheat biscuits, Weetabix type",,,,,,,,,,30.0,7.6,125.0,308.0,392.0,360.0,2.0,5.1,,,,,,,,,,,
01011,01 CEREALS AND CEREAL PRODUCTS,"Buns, Currant",,,,,,,,,,90.0,2.5,27.0,100.0,210.0,100.0,0.6,9.0,0.0,0.0,0.0,1.0,0.2,0.03,2.1,12.0,12.0,0.0,0.0
01012,01 CEREALS AND CEREAL PRODUCTS,"Cake or cupcake, plain butter cake, commercial",1.0,1530.0,363.0,25.9,7.1,15.3,48.8,1.1,1.9,63.0,1.0,14.0,310.0,110.0,480.0,0.5,7.0,,,,,,,,,,,
01013,01 CEREALS AND CEREAL PRODUCTS,"Cake, Fruit",1.0,1550.0,368.0,20.0,4.0,12.3,58.8,3.1,1.8,75.0,2.0,23.0,106.0,347.0,170.0,0.5,4.0,8.0,12.0,5.0,41.0,0.1,0.1,0.2,0.0,0.0,0.2,0.0
01014,01 CEREALS AND CEREAL PRODUCTS,"Cake, Sponge, homemade",1.0,1940.0,465.0,15.0,6.5,26.7,49.1,1.1,1.6,140.0,1.4,12.0,246.0,105.0,350.0,0.6,7.0,,,,,,,,,,,
01015,01 CEREALS AND CEREAL PRODUCTS,"Cake, Sponge, without fat",,,,,,,,,,70.0,2.0,15.0,137.0,136.0,80.0,0.9,14.0,73.0,73.0,73.0,0.0,0.1,0.25,0.5,16.0,16.0,1.6,0.0
01016,01 CEREALS AND CEREAL PRODUCTS,Cakes (Various Fancy Iced),1.0,1730.0,412.0,15.7,13.0,16.8,51.5,1.1,1.9,45.0,1.5,10.0,148.0,147.0,250.0,0.3,3.0,,,,,,,,,,,
01017,01 CEREALS AND CEREAL PRODUCTS,"Cornflour, from maize starch",1.0,1510.0,355.0,10.6,0.5,0.4,87.1,0.6,0.8,12.0,0.7,3.0,24.0,7.0,10.0,0.2,2.0,0.0,0.0,0.0,0.0,0.02,0.0,0.2,1.0,1.0,0.0,0.0
01018,01 CEREALS AND CEREAL PRODUCTS,"Maize, grain, white variety, whole, dry, raw",1.0,1450.0,345.0,13.6,7.94,4.5,63.4,9.4,1.2,24.0,2.6,75.0,367.0,226.0,12.0,1.88,8.0,,,,,,,,,,,
01019,01 CEREALS AND CEREAL PRODUCTS,"Maize, grain, yellow variety, whole, dry, raw",1.0,1430.0,340.0,12.7,8.3,3.7,62.5,11.9,1.0,7.0,3.9,104.0,216.0,346.0,7.0,2.3,8.5,20.0,40.0,0.0,241.0,0.5,0.12,2.2,33.0,33.0,0.0,0.0
01020,01 CEREALS AND CEREAL PRODUCTS,"Maize meal, sifted, fortified, packaged, raw",1.0,1490.0,352.0,12.7,6.8,3.0,72.3,4.5,0.7,20.0,3.6,50.0,229.0,150.0,12.0,4.36,0.0,,,,,,,,,,,
01021,01 CEREALS AND CEREAL PRODUCTS,"Maize, White, Degermed (Muthokoi)",1.0,1430.0,338.0,13.5,7.3,1.7,71.4,3.9,2.2,3.0,0.5,19.0,50.0,90.0,7.0,0.5,0.0,0.0,0.0,0.0,1.5,0.12,0.01,0.5,10.0,10.0,0.0,0.0
01022,01 CEREALS AND CEREAL PRODUCTS,"Maize, whole, flour, raw",1.0,1450.0,345.0,13.6,7.9,4.5,63.4,9.4,1.2,9.0,2.6,110.0,323.0,258.0,12.0,1.88,9.0,,,,,,,,,,,
01023,01 CEREALS AND CEREAL PRODUCTS,"Green Maize, white, whole, grain, fresh, raw",0.68,655.0,157.0,55.1,4.1,2.5,21.4,16.1,0.8,18.0,1.2,39.0,188.0,188.0,8.0,1.95,5.0,8.0,16.0,0.0,98.0,0.18,0.1,1.55,78.0,78.0,0.0,0.9
01024,01 CEREALS AND CEREAL PRODUCTS,"Millet, bulrush, flour",1.0,1490.0,354.0,11.0,10.5,5.3,61.8,8.8,2.7,32.0,32.4,84.0,263.0,291.0,4.0,4.14,34.0,,,,,,,,,,,
01025,01 CEREALS AND CEREAL PRODUCTS,"Millet, bulrush, grain, dry, raw",,,,,,,,,,32.0,6.3,84.0,427.0,291.0,4.0,4.14,25.0,2.0,5.0,0.0,28.0,0.27,0.17,1.5,162.0,162.0,0.0,3.0
01026,01 CEREALS AND CEREAL PRODUCTS,"Millet, finger, flour",1.0,1290.0,306.0,11.3,7.4,2.0,53.3,22.6,3.5,344.0,18.5,154.0,183.0,538.0,2.0,1.7,2.7,,,,,,,,,,,
01027,01 CEREALS AND CEREAL PRODUCTS,"Millet, Finger, Grain, Dried, Raw",,,,,,,,,,344.0,11.3,154.0,183.0,538.0,2.0,1.7,15.3,0.0,0.0,0.0,2.0,0.19,0.04,4.6,93.0,93.0,0.0,0.0
01028,01 CEREALS AND CEREAL PRODUCTS,Millet Yeast (germinated millet seeds),1.0,1270.0,302.0,12.7,7.4,1.9,52.7,22.6,2.9,859.0,27.6,180.0,245.0,81.0,6.0,1.64,15.0,,,,,,,,,,,
01029,01 CEREALS AND CEREAL PRODUCTS,"Oat bran, unprocessed, uncooked",1.0,1570.0,373.0,5.6,10.7,7.5,57.8,15.5,2.9,54.0,4.4,153.0,491.0,362.0,12.0,3.2,45.0,0.0,0.0,0.0,0.0,0.76,0.14,0.8,33.0,33.0,0.0,0.0
01030,01 CEREALS AND CEREAL PRODUCTS,"Pasta, macaroni, plain, dry, raw-imported",1.0,1570.0,370.0,7.1,13.7,1.5,73.8,3.3,0.7,21.0,1.9,44.0,148.0,147.6,5.2,0.6,13.0,,,,,,,,,,,
01031,01 CEREALS AND CEREAL PRODUCTS,"Pasta, spaghetti, dry, raw-imported",1.0,1500.0,354.0,10.6,12.7,1.4,71.0,3.2,1.1,18.0,1.0,30.0,172.0,142.0,5.0,0.6,12.0,0.0,0.0,0.0,0.0,0.07,0.06,1.1,16.0,16.0,0.0,0.0
01032,01 CEREALS AND CEREAL PRODUCTS,"Rice, flour, raw",,,,,,,,,,14.0,0.8,37.0,146.0,155.0,2.0,0.95,12.0,,,,,,,,,,,
