period,critical_transition,item,strategic_priority,cost_kes_millions
2024,Healthy diets,,Scale-up programs to promote and facilitate fortification or bio-fortification of widely consumed staple foods.,400.0
2024,Healthy diets,,"Review and implement micronutrient, healthy diet guidelines and strategies.",350.0
2024,Productive and regenerative agriculture,,"Review and implement a SMART fertiliser Subsidy Programme to make it more focused, cost-effective and efficient.",450.0
2024,Productive and regenerative agriculture,,"Promoting the use of diversified extension systems (VBA, MOA).",400.0
2024,Protecting and restoring nature,,Promote an integrated approach to natural resource management.,250.0
2024,Protecting and restoring nature,,Undertake capacity building for communities to enable them to manage land use effectively.,250.0
2024,Food loss and waste,,Undertake sensitisation and awareness creation activities on FLW.,600.0
2024,Food loss and waste,,Implement actions to reduce waste and losses in production and post-harvest operations and undertake sensitisation and awareness creation activities on FLW.,200.0
2024,Food loss and waste,,Develop an FLW protocol and capacity-build stakeholders on reducing food loss and waste.,50.0
2024,Gender and social inclusion,,Promote access to markets and value addition for women/youth-led enterprises.,200.0
2024,Gender and social inclusion,,"Strengthen youth and women leadership, capacity development and coordination in the food system.",150.0
2024,Gender and social inclusion,,"Invest in capacity building for youth (particularly in agribusiness), producers (extension system) and women along the value chains, and set up clear contract enforcement mechanisms that protect small-scale farmers.",150.0
2024,Monitoring and evaluation,,Monitoring and evaluation of the action plan.,100.0
2024,Coordination of strategy implementation,,Coordination meetings for the action plan implementation.,200.0
