county_name,bdod_0-5cm_mean,bdod_100-200cm_mean,bdod_15-30cm_mean,bdod_30-60cm_mean,bdod_5-15cm_mean,bdod_60-100cm_mean,cec_0-5cm_mean,cec_100-200cm_mean,cec_15-30cm_mean,cec_30-60cm_mean,cec_5-15cm_mean,cec_60-100cm_mean,cfvo_0-5cm_mean,cfvo_100-200cm_mean,cfvo_15-30cm_mean,cfvo_30-60cm_mean,cfvo_5-15cm_mean,cfvo_60-100cm_mean,clay_0-5cm_mean,clay_100-200cm_mean,clay_15-30cm_mean,clay_30-60cm_mean,clay_5-15cm_mean,clay_60-100cm_mean,nitrogen_0-5cm_mean,nitrogen_100-200cm_mean,nitrogen_15-30cm_mean,nitrogen_30-60cm_mean,nitrogen_5-15cm_mean,nitrogen_60-100cm_mean,phh2o_0-5cm_mean,phh2o_100-200cm_mean,phh2o_15-30cm_mean,phh2o_30-60cm_mean,phh2o_5-15cm_mean,phh2o_60-100cm_mean,sand_0-5cm_mean,sand_100-200cm_mean,sand_15-30cm_mean,sand_30-60cm_mean,sand_5-15cm_mean,sand_60-100cm_mean,silt_0-5cm_mean,silt_100-200cm_mean,silt_15-30cm_mean,silt_30-60cm_mean,silt_5-15cm_mean,silt_60-100cm_mean,soc_0-5cm_mean,soc_100-200cm_mean,soc_15-30cm_mean,soc_30-60cm_mean,soc_5-15cm_mean,soc_60-100cm_mean,county_norm
Baringo,124.81198861832303,133.53791246366902,128.33190655301271,131.50432918936082,126.56204967882178,132.51858070976724,269.0276787240798,262.6721906064529,260.002863737391,261.1157035390665,263.874905356227,261.1458979556945,120.56054148450285,192.8274369245048,142.88920572503235,171.0753730796473,126.29927582248492,177.8887233470923,351.51128398016755,397.8731468138632,370.9126834867987,398.75868280292116,349.0097452555992,401.42302102923577,270.2455242654422,71.26217546344918,147.73348313509024,110.21500622817088,172.1915345724544,88.83796986053783,64.69950907359011,67.54707153848032,64.71070756905942,65.56570720269643,64.71468871357742,66.5598637129668,370.16303153164154,342.8523984563906,357.6886647290135,341.35621473756197,372.3418777324573,340.1490608895293,259.63693427447913,240.58204699215983,252.7096023740322,241.19334806926702,259.95830789145884,239.73660332657596,363.0630632831009,73.94955181593923,171.84480253034707,117.63520626236475,215.56241604181423,85.03086608211416,baringo
Bomet,114.5071440257403,124.49168348148552,118.85927359982549,121.91138136009162,116.4782952500409,123.76160222500954,245.05848830233953,212.63786333642364,227.49348312155752,220.81700932540764,244.8715711403174,219.89995637236188,74.11114140808202,163.10705131700934,91.17999127447237,101.80187598843868,76.38425042264275,138.03558379233243,369.37165294213884,447.00842558760974,392.34386759011835,441.00782570758577,369.65234225882097,452.0575612150297,399.09014560724216,124.97851338823145,248.45012815618693,189.11986693570375,257.07293995746306,155.44881932704368,56.404619076184765,57.4673610732399,56.25920270491356,56.77231826362,56.26446528876043,57.16815727763538,336.37770627692646,295.149642798713,326.81810001636035,298.749850029994,338.66823907945684,293.38212357528494,294.142444238425,257.73338059660796,280.7283088836778,260.13292795986257,291.567404700878,254.453263892676,554.8715711403174,103.953263892676,250.5436821726564,179.2213011943066,359.6802094126629,127.85057533947756,bomet
Bungoma,113.2870274440648,124.39528270693266,117.94434035049046,120.95844814284139,115.22744406480767,123.21329218560564,228.4522649619751,189.76642786288988,202.1683897277637,195.61679709026782,212.46712223079467,190.99953708806348,116.65290422131599,185.31517689849002,141.95342224181638,153.2717072633087,122.2080678937507,167.0970131158382,407.4336823542379,482.4355340019839,424.67120026452113,467.2355340019839,409.41666482971453,484.09165656343,372.73774936625153,141.61179323266836,245.86392593409016,210.86077372423674,203.38474594952055,171.94098974980713,57.43804695249642,58.46921635622176,57.289871045960545,57.618626694588336,57.222991292846906,57.93830045189022,320.4165546125868,287.4777251184834,315.0252176788273,292.6155406150116,322.3561776700099,285.50810095888903,270.54052683787063,228.47620412212058,258.6967045078805,238.5438113082773,266.6176347404387,228.79336492890997,504.23273448693925,105.11788823983247,253.98992615452443,175.1568169293508,347.9460817811088,125.15536206326463,bungoma
Busia,113.3034822215692,122.29095650896268,118.54352776961504,120.77244343226565,115.4818542462533,121.38205260064649,186.4813032618278,139.83723920070526,145.81494269761976,138.64351307669702,158.12275933000294,138.32001175433442,77.14597414046429,158.20041140170437,95.21279018513077,105.81200411401704,82.11735968263297,133.5305612694681,377.09263884807524,450.984756097561,392.0997649133118,425.4685938877461,384.05149867763737,446.98218483690863,267.85604613576254,75.65100646488392,146.54136056420805,124.92991478107552,116.94732588892154,99.24368204525419,51.82970908022333,53.250661181310605,51.7045621510432,52.00595063179547,51.532765207170144,52.543895092565386,323.55965324713486,301.74471054951516,324.43494710549516,308.1730825741992,321.52431677931236,298.91786658830443,216.88535850719953,164.80796356156333,200.99764913311785,183.89432118718778,211.9584925066118,171.6362033499853,364.03555686159274,53.83933294152219,141.2588157508081,91.49375550984425,205.28812812224507,59.809579782544816,busia
Elgeyo-Marakwet,118.29746038061137,130.62509117432532,123.65996949804389,127.47894701942842,121.05101341644011,129.37291956766794,241.28959176005128,213.65767079990275,224.18502309749576,218.89240324470083,232.94226731207038,215.2692571226488,119.07592334725814,188.36290696903387,142.7481820392105,162.42194372610126,124.94631213668413,170.97093473023452,382.7698428486175,452.28227571115974,397.37073138386046,440.41389828260725,375.7413301505205,452.4978007647592,393.1760714364653,172.77965652145085,270.21906151227813,217.75925557544812,284.8161262515748,196.58203478991226,59.38768428265146,60.0978935967995,59.11376345512013,59.413655151073094,59.248988793846564,59.60338615918484,357.6366509736313,321.62716884379904,350.64412174259,325.90038237959465,363.46946488959617,320.8295868974206,259.14696196096634,225.65022213381076,251.54324425878036,233.2412969962204,260.3479433282497,226.2281236876423,557.0138363945804,126.31226930132839,279.04621709435713,203.3503304378578,355.8453683442743,145.24036867581725,elgeyo marakwet
Embu,118.69144377472217,121.52651158410247,119.92298455453005,120.63338199284235,119.229633640987,121.33829346392918,208.97332360143153,175.8578828404596,185.75699284234318,181.08337257487287,192.10541062346957,178.80956865699756,66.17140704464117,169.89084573365983,89.81830382369562,115.49423149368997,71.40473723865135,148.80761442832926,419.767564513091,479.4923949896402,453.0503625918252,486.2373092861179,424.3826050103598,488.09154266340175,202.5451591636843,80.9129779619514,146.85402147297043,108.33068845356941,187.4962563571294,97.98846298737992,61.60107835750612,61.90396025616877,61.425809945375775,61.60811828969674,61.46654266340177,61.70688924467885,335.96117442079486,291.89588434733474,312.5866217743455,292.78696553023167,332.07663872669053,289.2419947259371,229.98019871915616,214.31952815972878,220.07386042569223,206.6821906197024,229.24529101525712,208.3702674703334,286.12815501977775,78.29869090224147,148.80921548314183,115.31816255415332,199.396684874741,90.53828404595968,embu
Garissa,141.06137900326024,147.19288234737976,143.2127503514909,145.38037415100843,142.01708505012368,146.25446568808346,188.642560439661,197.41159965720107,191.4827273864021,193.6608577902888,189.21343503441713,194.32030199244255,75.7357947354135,139.9851214892845,85.83889364998521,106.81901039681111,80.1069310040898,123.03885003766518,277.346312319108,321.9569366462431,299.99180667847963,319.54108097557406,287.4664856094593,322.00903506979495,110.42076129421847,36.13434729435876,66.38891210135137,55.58778123084336,83.90696241715946,46.76596958116924,74.1964506281089,75.33907816364685,75.07359350267926,74.59451521703991,74.65308991762456,74.90605967263312,502.184205630564,464.39647411166584,483.43536837161355,466.63307247269654,493.19443622689386,465.43320300467536,219.9245552610792,213.1018728899109,216.02830988535754,213.28197957235528,218.7949961724852,212.01304862316212,159.88717370817562,49.851978870898385,81.96088157882699,69.593019283965,108.36380604411859,55.50849220315412,garissa
Homa Bay,77.95975654325153,84.35195805571955,81.2002333361446,82.54495234882349,79.25993084254027,83.82183520283377,148.78977256754098,128.44193303533777,126.02998228894324,128.7759973011723,131.81563633296787,130.77802142194486,72.36351241179612,113.64868853841612,83.5843945910995,89.74383627111973,75.31378088892637,100.93168592392679,249.44412583284137,289.1329453768519,262.187680976076,282.10438278372834,252.6592448905007,291.20180765230106,196.23204295634085,50.28438896854179,123.89061313991735,76.96783896994742,120.7656377386073,62.80897360209159,38.56198869865902,39.40094458969385,38.556155295043716,38.69816704618931,38.52942003317309,39.08356526383852,237.85542998510022,221.10029237300049,233.47530291529617,222.7087796238509,238.19856062522842,218.4495234882348,159.75534845801354,136.82349385735571,151.39769756262123,142.2468302830958,156.20265103595625,137.4066374293666,250.00892581035112,52.59427623625987,106.26275617778528,79.3617272497259,153.89490034016475,60.98348373675185,homa bay
Isiolo,139.46444670146434,144.39029312754897,141.14445392625478,143.61974566643457,139.3592762644692,144.36818422168588,187.4334952803271,190.80797763456172,190.45856216199238,189.92683329057792,188.19900894722238,191.07388133543446,78.85263783381934,134.1775911082724,88.88357093121266,100.78560434325084,84.28594987670738,116.1958101450717,286.6838368872671,301.86782298216315,295.9946311430351,305.77143485385506,296.9648681475742,306.4490861687146,110.99595830562957,48.21708924710354,72.9275322105241,56.73012004669937,85.33049489814616,52.04800820903727,77.0560601856457,75.8950991838081,77.60980372652598,75.93823589464371,77.49481176279652,75.55296347292536,496.2340884460942,469.48392745891556,489.76419959268935,476.2979100461235,487.56693140113816,468.60301347056946,217.04874115879358,228.61317791308264,214.2080294645802,217.89846028197624,215.4319953510044,224.9145144993168,133.31012674795429,49.4412043411567,76.61990796245203,64.26005057353318,93.08678910417834,54.83393452664534,isiolo
Kajiado,123.53314933063706,131.84922102488895,126.77809153375053,130.2302341328038,125.55043526050349,131.3250744664377,269.8138961508215,255.75025733050344,253.2523994741045,253.36926244067735,255.72224094636897,255.59227613764372,67.45986403233104,202.47507006373294,84.90071141636531,113.69871228476087,72.95486468514588,163.01485988771586,359.2418937095976,406.3300480046638,387.1506332304011,415.6111652593193,362.34755558794325,418.0664018971103,159.3971057529688,57.59714340368552,111.71294364841518,82.7237621567788,128.69505348527218,69.84568975202144,71.04203823976826,73.24577416249927,71.58739672620945,71.70769683885797,71.1917636020805,72.28069823861445,412.22574944662557,374.2986218015868,395.04073564642334,372.53893964650837,412.7562207182178,367.6856924240078,226.9770816443647,217.81695982607798,216.25541153144292,210.2958313976614,223.34034426115022,212.69213859107376,209.09474013414587,63.8163920289789,126.49434176527207,96.46243581919154,154.6832512001166,70.89320860015242,kajiado
