Cluster,Country,Cultivated,Depth,Gid,Latitude,Longitude,Plot,Region,SSN,Sampling date,Scientist,Site,Soil material
1.0,Tanzania,True,top,1.0,-6.93070316,36.09182358,1.0,East Africa,icr005928,,Tor Gunnar Vagen,Chinyanghuku,Chi.1.1.Topsoil.Std fine soil
2.0,Tanzania,True,top,2.0,-6.90836716,36.08665466,1.0,East Africa,icr005946,,Tor Gunnar Vagen,Chinyanghuku,Chi.2.1.Topsoil.Std fine soil
3.0,Tanzania,False,top,3.0,-6.88353014,36.0907402,1.0,East Africa,icr005965,,Tor Gunnar Vagen,Chinyanghuku,Chi.3.1.Topsoil.Std fine soil
4.0,Tanzania,False,top,4.0,-6.86680222,36.09944916,2.0,East Africa,icr005985,,Tor Gunnar Vagen,Chinyanghuku,Chi.4.2.Topsoil.Std fine soil
6.0,Tanzania,False,top,5.0,-6.91083193,36.11650848,1.0,East Africa,icr006015,,Tor Gunnar Vagen,Chinyanghuku,Chi.6.1.Topsoil.Std fine soil
7.0,Tanzania,True,top,6.0,-6.88956308,36.12222672,1.0,East Africa,icr006035,,Tor Gunnar Vagen,Chinyanghuku,Chi.7.1.Topsoil.Std fine soil
8.0,Tanzania,False,top,7.0,-6.86175203,36.11831284,1.0,East Africa,icr006055,,Tor Gunnar Vagen,Chinyanghuku,Chi.8.1.Topsoil.Std fine soil
9.0,Tanzania,False,top,8.0,-6.93122,36.1357,5.0,East Africa,icr006076,,Tor Gunnar Vagen,Chinyanghuku,Chi.9.5.Topsoil.Std fine soil
10.0,Tanzania,False,top,9.0,-6.905239999999999,36.1372,2.0,East Africa,icr006085,,Tor Gunnar Vagen,Chinyanghuku,Chi.10.2.Topsoil.Std fine soil
11.0,Tanzania,False,top,10.0,-6.88657,36.1374,1.0,East Africa,icr006101,,Tor Gunnar Vagen,Chinyanghuku,Chi.11.1.Topsoil.Std fine soil
14.0,Tanzania,False,top,11.0,-6.90498781,36.16339493,3.0,East Africa,icr006152,,Tor Gunnar Vagen,Chinyanghuku,Chi.14.3.Topsoil.Std fine soil
