SSN,Public,EC,ExAc,ExBas,M3 Al,M3 B,M3 Ca,M3 Cu,M3 Fe,M3 K,M3 Mg,M3 Mn,M3 Na,M3 P,M3 S,M3 Zn,PH,PSI
icr006475,True,0.053,2.56,2.744241033,1095.0,0.3337,207.1,1.315,153.7,306.3,89.5,9.266,42.71,4.495,18.96,2.825,4.6819999999999995,67.05249534
icr006586,True,0.193,0.59,16.79775329,1165.0,0.7899,1665.0,2.8139999999999996,126.8,1186.0,636.7,254.7,40.83,12.51,13.6,1.952,7.062,30.42055227
icr007929,True,0.305,0.19,16.50361899,727.6,0.6142,2518.0,0.2496,260.4,72.57,428.5,35.82,42.94,21.09,14.81,2.742,7.114,60.50616313
icr008008,True,0.053,0.48,6.3027752,1458.0,0.3603,734.3,1.369,134.1,274.6,222.5,29.11,20.73,109.2,11.4,0.98,5.65,51.4701435
icr010198,True,0.032,1.05,2.390303016,2166.0,0.01,261.8,1.686,97.49,91.76,76.5,375.2,49.31,3.958,5.281000000000001,1.258,5.501,247.6265331
icr011882,True,0.028999999999999998,1.632,1.18580588,382.1,0.0151,150.4,0.2186,96.86,37.33,36.94,13.38,7.6,6.402,3.577,0.444,5.697,0.9848842240000001
icr011961,True,0.212,0.768,7.560980385,338.8,0.3977,1020.0,1.036,168.0,279.9,179.6,40.07,59.99,43.69,9.571,2.904,8.097000000000001,-13.649412400000001
icr021104,True,0.04,0.5760000000000001,2.0072675380000002,441.4,0.0447,258.7,0.6028,141.2,35.25,58.37,5.847,32.48,4.4239999999999995,3.608,1.149,5.522,-100.551694
icr024938,True,0.02,0.1,2.103110693,375.0,0.02,214.0,0.33,68.0,48.0,97.0,24.0,25.0,4.59,3.0,2.08,5.83,-1.8
icr025010,True,0.021,0.49,1.615761768,537.0,0.01,131.0,0.41,131.0,51.0,91.0,55.0,18.0,3.66,4.0,2.15,5.47,42.65
icr006121,True,0.106,0.18,5.586199784,624.7,0.3992,633.0,0.7759,75.76,243.1,200.8,87.34,32.19,7.957000000000001,11.38,1.501,7.081,-7.5732085620000005
icr006570,True,0.14800000000000002,0.36,8.296061466,1151.0,0.5928,896.2,2.247,70.46,607.3,252.7,151.8,39.89,5.986000000000001,20.08,2.326,6.6610000000000005,12.10037601
icr005928,True,0.218,0.09,7.282999218,747.2,0.414,946.8,1.244,80.02,209.6,224.7,107.2,35.86,6.199,11.05,2.0340000000000003,7.563,1.592510707
icr005929,True,0.115,0.13,6.2434607810000005,852.3,0.2954,629.8,1.317,92.18,146.9,307.6,114.5,40.62,1.34,8.272,2.0580000000000003,6.907,17.70090868
icr005946,True,0.111,0.18,7.05556601,594.7,0.1794,729.5,1.031,85.29,83.85,365.0,63.0,40.73,4.06,8.87,1.275,6.905,1.4487958330000001
icr005947,True,0.11599999999999999,0.14,6.307350141000001,517.0,0.1328,661.7,0.7326,72.55,58.59,315.6,35.34,55.37,2.7489999999999997,10.13,1.795,6.872999999999999,1.6705323980000002
icr005965,True,0.23800000000000002,0.27,39.98554406,601.6,0.6949,7212.0,1.635,60.15,247.3,380.6,129.4,33.95,13.05,13.41,1.281,7.879,30.63797853
icr005966,True,0.205,0.18,13.61842451,961.4,0.5955,1985.0,1.8659999999999999,123.4,167.7,375.8,166.1,36.51,8.997,9.889,1.484,7.401,19.51400217
icr005985,True,0.321,0.09,26.40780632,765.6,1.625,4551.0,3.2569999999999997,98.46,297.5,333.3,124.7,31.6,27.1,23.39,2.25,7.78,26.97103745
icr005986,True,0.643,0.18,60.77534907,195.2,1.165,11368.0,3.8339999999999996,39.04,166.4,396.8,130.0,53.0,17.47,35.89,2.081,7.896,46.56910451
